Número plantas
45
46
46
46
47
48
49
50
51
54
60
61
64
69
73
78
86
91
91
94
97
99
103
103
104
106
111
114
118
120
122
123
123
129
129
130
130
132
132
133
136
136
139
139
140
140
141
144
147
149
152
161
167
186
212
212
212
